Comment ID,Likes,Text
89,2,"⁠BJP fucked up big time…they had the opportunity to win Vidhan Sabha Election 2024 and Lok Sabha Election in Maharashtra with a landslide. There is a saying in Marathi. Aati ghai, mhasnat nehi. BJP could have just sat outside of State gov and let Maha Vikas Aghadi mismanage the state for 5 years. People were getting frustrated with Udhav Thakarey, Ajit Pawar alliance. But BJP had to break traditional parties like Shiv Sena for short term gains. That is short sightedness from Devendrá Phadanvis. Later, they also welcomed the most corrupt politicians in Mahayuti in 2023-24 period (ie Ajit Pawar, Ashok Chavan, Bhujbal, Hasan Mushrif etc). This is the beginning of the downfall. An Ex-CONgressman Jarange was left amok, who picked up the Maratha reservation issue. All this has culminated into a major anti incumbency. Plus, the Marathi media (which is bought by Sharad Pawar) is setting an Anti-government narrative…and is likely succeeding in it."
90,2,"@abhisheksathe123 unless u are going there to learn something new/niche or do some research, I would suggest not to go any Fiat currency based economy. Interest rates are not going to come down anytime soon, inflation is going to be high and cost of living is going to unbearable for immigrants. So if you are thinking that Ireland would be a safer option, think again. If u have some research in mind, look for scholarships (very hard to come by sponsored research scholarship programs these days)..but if u think masters and then 150k+/year salary would suffice think again…wait for UK elections next year… if Japan starts dumping US treasury bonds (very likely) followed by china…interest rates are going to go higher and layoffs even more frequent."
91,2,By pulling of crypto scams
92,2,"Punekar ani PCMCkarano, Hya veli Apaksha konte umedwar ubharle ahet hyancha abhyas kara. Jya vyakti la town planning, socio-economic, health care cha abhyas asel, asya lokana nivdun ana. <br>Streetpower aslelya gunda na nako matdan karayla. Jya lokanche pani tanker, cement valu Che truck phirtat gaonbhar, tyanatr bilkul naka karu matdan. Mg te MVA che aso kinva Mahagatbandhan che. <br>Ekhade normal middle class retired military officer jr nivadnuk ladhvat astil, tr tyana protsahan dya. Ekhada middle class abhyas kelela Tarun jr nivadnuk ladhvat asel, tr tyala protsahan dya. Fortuner madhun pandhara pudari shirt ghalnyara gunda pravrutti chya netya la naka anu nivdun. Evdich vinanti.<br><br><br>Mala mhait ahe ki bahutansh loka Hya election la seriously ghet nhait. 40-50% asta phakta matdan municipal elections la. Tyat pan lokana aplya umedvaranchi nave sudha mhait nastat. State and national politics shi influence houn te paksha chinna baghun matdan kartat. He chuki cha ahe. Tumchya gharchya samorcha Rasta na Modi na Gandhi na fadanvis na pawar na thakerey banavnar ahe. Toh tumcha local nagar sevak banavnar ahe. Mhanun vicharpurvak kara matdan. Asya vyakti la kara jyala tumhi darroj jaun bhetu shakta, jyala prashna vicharu shakta, Jo tumchi samasya sodvayla tatpar asel, Jo tumchi tika aaikun gheil tumala na dhamkavta. Jo vadhdivsasarhi bannerbaji karat nasel vyakti la kara matdan. <br><br>Haa vichar jastit lokana sanga. 2026 la hyacha effect honar nahi, pan 2036 paryant voter jagruk hou shakto."
93,2,"Yesterday it was Aryan Invasion, today it is Aryan Migration, tomorrow it would be Aryan Picnic."
94,2,Fan engagement pe thoda focus karna chaiye ISL teams ko. (Obviously grassroots is priority) but apart from that Fans ko bhi develop karna chaiye…dedicated sports bars especially near or inside stadiums…half time futsal events with local football talent..etc..
95,2,The thing is centre refused to extend the line from Mumbai to Pune (Which could have been Highly profitable for the rail line and the state&#39;s economy) . This created a doubt in a lot of Marathi people who support BJP as well. For whom is this massive HSR project actually being built for? How many Maharashtriyans travel from Palghar to Mumbai on a daily basis?!
96,2,"i did a rough calculation assuming 15kg of lithium/EV and we can produce around 393 million vehicles. Not a small amount. But I guess we also have other applications of lithium in electronics and pharma. Plus the extraction cost of lithium is also a huge factor. Within the Lithium triangle in south america, there are lithium salt pans. So i guess Indian lithium is going to more expensive since we would have to include mining and other refining activities. Similar to Venezuelan oil whose extraction cost is 3 times that of Saudi oil. Venezuela can only make a profit when oil price is around $70+/barrel."
97,2,"H1B has a cap of 80k/year. And it is a three year visa. So, at any given point, there would be 240k H1b visa holders. 30k of 240k is 12.5%. I will leave the discretion up to the viewers whether 12% is high or low. And from what he said, it was 30k for the year 2023. I am going to make an assumption that these 30k layoffs would take place mostly for freshers (cause companies most of the time want to cut dead weight, ie not spend money on training). That makes it 30k layoffs for 80k visas given out. Now the revised percentage would be 37.5%. Yikes...."
98,2,@Indian007Bond don&#39;t mean to be rude but no one is stopping you from using Rajasthani everywhere...we Marathas are proud of our heritage that&#39;s all...we are not trying look down on anyone else...and the phenomenon of marathi people shouting out their marathipan or telling the world that they are Maharashtrians is because we want the world to know that most of us feel cheated...we had voted for NDA in Maharashtra (2019) and receive babaji ka lota with MVA...but if you look at the comments across various videos you will see people blaming the marathi people for SS gov goof-ups... which is not fair on Maharashtrians
