Comment ID,Likes,Text
UgxQPWulWAGqY3yGnYx4AaABAg.9-yYhMIJl4T91jrphvYS9T,33,"@raoulsandhu1415 in India&#39;s 5000 year old history, no one must have thought about adding chicken tikka to garam masala + curd when most of the ingredients are in the kitchen"
UgxNMdDQzAqyP3x3b1B4AaABAg,32,Why Indian roads are slow?<br><br><br>Cause everyone drives like the White car
Ugwqd27ZtPkv9H1c34l4AaABAg.A6Bdvmd-460A6DUoRa4zqJ,30,"In India, the tobacco is a $18 billion industry. Imagine the tax revenue and employment it generates. Along with that, many of the stakeholders in this industry are huge lobbyists in the central and state governments. So currently, banning it is out of question. Taxing it heavily could be a solution."
UgzwHK9jXHa7e8SBO6J4AaABAg.8u327lpxwUa8u5kZlKy8YS,28,@user-Void-Star you are correct on that... that&#39;s because Sanatan Dharm means everything is one
UgyeP-IrizhH6lEX78l4AaABAg,28,"where are you Goa??? Please bring back legacy clubs like Dempo, Salgaonkar, Churchill....I heard recently that Salgaonkar has gone bankrupt and has stopped playing senior mens football."
Ugy7tdGNDPgW1l5ws7l4AaABAg.90TX5XZpiIM98qaUuPr1nI,27,"@nomad9699 Adha, pura how does it matter"
UgyLPHRE29ZN4fDvVX54AaABAg.994V5QL18cs994oRUcRVkN,24,Swami is a title...if he did spend ten years in an ashram or banks of Ganga with other Swamis and earned the title then what is the issue if he is white?
UgxLzgx2TGE3CoaMVk54AaABAg.9FTrlhFBji59FUuLJUCIPX,24,Maharashtra ke log kabhi kush nahi rehte apne government se
Ugym0We2jHuoWyDbZ_J4AaABAg.AMrlTYFMXmIANO-K9z8Ohf,24,@ceroleionlinethat dude is going viral for his psychopathic shorts
UgzwHK9jXHa7e8SBO6J4AaABAg.8u327lpxwUa8u5lR981yyK,21,"@EmptyRainbows Buddha was just trying to educate the public wath their true Dharm is, he was trying to revive the Vedas which at that time were only known to the &#39;Brahmins&#39; and few educated royal families (which Siddhartha was a part of)...the Vedas/Upanishads were deliberately kept away from public to create a caste division... whatever Buddhism teaches is a reiteration of ancient vedic teachings"
Ugyi1AVKGzZH8htT-Ct4AaABAg.A0geAiQGZSHA0i8q4HMP5j,21,"@Optic_UD-011  as a Chelsea fan, that whole year pains me"
UgxRRWJLyXZFakts_h94AaABAg,20,Great start…quality has actually changed in the last 10 years…one more fan gained! Job well done KBFC🎉
UgzhKbeNu-Sd72cj3j94AaABAg,19,"Hey Ranveer, Can you please make a transcript for this video? Rajiv sir has mentioned a lot of important aspects in this podcast that we as Indians should remind ourselves everyday like a mantra. Narratives like &quot;Make for India&quot;, Increase R&amp;D expenditure in India, include Vedic/Indic literature in humanities courses across India to promote our thought process. These are just a few I have picked up in first 30 minutes of this podcast."
Ugw195Kf9OhvXAHWbip4AaABAg.A6FU2-EMew8A6G9z5NmRue,19,"it&#39;s a two part podcast, probably 1-2 more hours&#39; worth to come out in the next couple of weeks...however he, did seem disinterested, well that&#39;s because he was expecting a sensational &#39;Clear Trump Victory&#39; as an answer which he didn&#39;t get, rather Balaji gave him insights on how divided the state of the Union is. But I won&#39;t blame him, sitting there listening to someone for 3+ hours, you would start to lose focus. Plus, Balaji was pulling one graph after the other. The audience has the ability to pause, understand, decipher, dissect, debate, conclude and be amazed by the infographics. For Ranveer it was like graph dikha diya bencho, aur ek graph dikha diya bencho!"
UgzdMNz0abnfmtznlX14AaABAg.9y9RK7mcJ1KA4xEQyDOzZv,18,"I think it would be really difficult to distinguish between Anglo, Dane and Britons given their mixed history in England….like if a person is a redhead, you may think he is Celtic, but there were some Danes that shared that trait. Plus both Danes and Anglos were blondes. Brunettes would be a Celtic remnant and brown hair would be like mixed race. But I would still be guessing, nowhere close to being a professional racist."
UgxUFxECUtToe03pEPZ4AaABAg,16,Never thought about it this way...but soo true...I sort of lost the habit of converting under peer pressure in about 6 months. now i wonder how much I would have saved in past 6 years
UgwoTIi5s18l7L7-Hwd4AaABAg,15,Poor Kepa
UgxJHP4cWy7-YGqSPTZ4AaABAg,14,"Balaji is an intelligent bullshiter…see how cleverly he deviated from the Prakhars question around <a href=""https://www.youtube.com/watch?v=F-CjidoeMaE&amp;t=5640"">1:34:00</a>. It was a simple question, how are you going to stop these crypto communities from doing collaborated resource raids, or pulling of crypto scams…he smartly avoided it by speaking about Indians from UP and Tamil and some other bullshit. Tho around the 2 hr mark, he slightly slips it into the conversation that crypto scams are going to exist and doesn’t bother to dwell on that topic any further."
UgzWC7G-mCombW2iIhl4AaABAg,14,MCFC fan here..good win boys!! But that Parthib kid…he gives me hope for Indian football…hope he gets a record deal next season making headlines across the nation inspiring many more to join. <br>On a side note…Indian players should stop playing second fiddle to these foreigners..they should remember that these guys are failures in their home leagues (nothing against these guys..it’s just that they are no Messi Ronaldo Neymar) Indian players should up their game and become inevitable..invoke their striker egos. Don’t give assist! Score goals!! (FYI.. I recently watched Bluelock..that’s where this talk is coming from …lol)
