Comment ID,Channel ID,Comment create timestamp,Price,Parent comment ID,Post ID,Video ID,Comment text,Top-level comment ID
UgwN8EKA6zVuFArGos14AaABAg,UCQHcGs-Dub4lqoMVppqrlvw,2020-11-27T18:50:23.935467+00:00,0,,,TLUENWI_CEQ,"{""text"":""Apka logic pehle 6 min me hi fail hogaya ji... Pakistan aur Bangladesh kya asman se tapke hai? Aur Bengal Assam was under Bengali Nawabs....""}",
UgywsGZmJVw41_xqf454AaABAg,UCQHcGs-Dub4lqoMVppqrlvw,2020-11-26T02:20:07.146391+00:00,0,,,NyyArHho5sA,"{""text"":""That's it!!! I'm not going to be embarrassed to share this video on Facebook""}",
UgwjT_ZMFG9gZTtMUHN4AaABAg,UCQHcGs-Dub4lqoMVppqrlvw,2020-11-25T19:27:24.712525+00:00,0,,,KkwmYlgkOhU,"{""text"":""I still don't get how 'Jain Pav Bhaji' tastes so good?""}",
Ugxx9b-BVhyNaMKsY254AaABAg,UCQHcGs-Dub4lqoMVppqrlvw,2020-11-23T22:55:06.877657+00:00,0,,,_vYd3WfBeo0,"{""text"":""Legalise weed in India""}",
Ugz-OSM_2PLlJpIfSb14AaABAg,UCQHcGs-Dub4lqoMVppqrlvw,2020-11-23T21:01:47.01638+00:00,0,,,wO5rowQ4dzw,"{""text"":""I thought the temples of bagan were the biggest religious complex""}",
UgxNGaqOuu7_TdsSkgl4AaABAg,UCQHcGs-Dub4lqoMVppqrlvw,2020-11-20T15:15:40.260907+00:00,0,,UgwaJvQ4STSVLeAPSKB4AaABCQ,,"{""text"":""Saam daam dand bhed...""}",
Ugwakny1HHqmX1WCPxZ4AaABAg,UCQHcGs-Dub4lqoMVppqrlvw,2020-11-19T17:08:25.975838+00:00,0,,,Q8oR5TJk2_s,"{""text"":""I have never watched any isl or I-League game before...but this year I'm planning to... cause if more people watch, better it gets...C'mon India! Let's football""}",
Ugw9Ch0fRlbtp1crhox4AaABAg.9FviXWR0l0T9GD-jmfkslt,UCQHcGs-Dub4lqoMVppqrlvw,2020-11-18T18:28:02.188552+00:00,0,Ugw9Ch0fRlbtp1crhox4AaABAg.9FviXWR0l0T9GCwxNlip7e,,1bBUCA63dNY,"{""text"":""@bharat bhushan baxi"",""mention"":{""externalChannelId"":""UCoZdW_0UhkwZyeo-kanU0Tw""}},{""text"":"" I don't understand this question""}",Ugw9Ch0fRlbtp1crhox4AaABAg
UgxLzgx2TGE3CoaMVk54AaABAg.9FTrlhFBji59GCdNkpzIRH,UCQHcGs-Dub4lqoMVppqrlvw,2020-11-18T15:03:55.065017+00:00,0,UgxLzgx2TGE3CoaMVk54AaABAg.9FTrlhFBji59G88SOZcRPW,,EWpF0UqbDwg,"{""text"":""@NO one"",""mention"":{""externalChannelId"":""UCLXWQUq18hLv61A4R_nOEwQ""}},{""text"":"" gup, bakal gaon ahe... unemployment khup high ahe....nuste slum pockets ahet""}",UgxLzgx2TGE3CoaMVk54AaABAg
UgzwlBUgRWRzKc1ADSp4AaABAg.9FzGYj-sZpG9G96FXtFxK8,UCQHcGs-Dub4lqoMVppqrlvw,2020-11-17T06:07:58.674814+00:00,0,UgzwlBUgRWRzKc1ADSp4AaABAg,,XK8_EbxCvCw,"{""text"":""Could you invite this dude called 'daud kim'?""}",UgzwlBUgRWRzKc1ADSp4AaABAg
UgxLzgx2TGE3CoaMVk54AaABAg.9FTrlhFBji59G88SOZcRPW,UCQHcGs-Dub4lqoMVppqrlvw,2020-11-16T21:07:58.016756+00:00,0,UgxLzgx2TGE3CoaMVk54AaABAg.9FTrlhFBji59G7MWownG--,,EWpF0UqbDwg,"{""text"":""@Aryan"",""mention"":{""externalChannelId"":""UCPVtu5livrvnpr_Gce2pjuw""}},{""text"":"" I don't know why you were quick to assume I was from UP Bihar, but anyway, have you ever been to vidharbha? Solapur? Konkan? Or are you assuming Maharashtra is developed because of Mumbai-Pune-Nagpur? Major cities like Aurangabad still face water shortages... Many colonies in Aurangabad either have to order water tankers or wait for 3-4 days for potable water...is this the definition of development? Telco has been moving it's production units to other states year after year for the last ten years... increasing 'skilled' unemployment in cities like pune pcmc, is this development?""},{""text"":""\n""},{""text"":""India's financial capital still doesn't have a working metro system, and if you are going to tell me that ghatkopar line is enough to suffice the needs then you would be delusional...pune has been asking for metro since 2006-7...when it's population was closing up to 4 million...now the city has passed 6 million people and we still don't have a functional metro...let me not even get started about pune ring road...half of our five star midcs are empty, why? Five star means continuous electricity, 4 lane road connectivity, rail connectivity, etc...still companies aren't flocking in to setup factories, why? Newly formed states like telengana would catch up with Maharashtra's development soon..""},{""text"":""\n""},{""text"":""Saudi Aramco was planning to invest around 50 billion in Ratnagiri which has halted...(there are many reasons for this, pandemic being one) but what Saudi officials state right now is change in local government and leadership... people of kolhapur-sangli get a flood-scare nearly every odd year...""},{""text"":""\n""},{""text"":""I don't want to discard or discredit what Maharashtra has done in the last 70 years but much more can be done...I don't mean to offend anyone from UP Bihar, but Maharashtra should not compare itself with underdeveloped states...we have gone passed that...compare Maharashtra to Tokyo bay area, Shanghai, California etc then you will see how developed Maharashtra is...all I want to say is first become the best then teach the rest.""},{""text"":""\n""},{""text"":""There is a marathi saying: \""loka sanghe brahmadnyan, swatah korde pashan\"" that should not happen with Maharashtra""}",UgxLzgx2TGE3CoaMVk54AaABAg
UgzIQLgIrZNNq3m7iop4AaABAg.9FNtToF1qXa9G81rzuyHdy,UCQHcGs-Dub4lqoMVppqrlvw,2020-11-16T20:10:25.99113+00:00,0,UgzIQLgIrZNNq3m7iop4AaABAg,,_g9EraoHbWw,"{""text"":""@AYUSH KALE"",""mention"":{""externalChannelId"":""UCeUUk9rEDEEgzC_rdpp_tCQ""}},{""text"":"" br""}",UgzIQLgIrZNNq3m7iop4AaABAg
Ugxw5kjVJE1Ipit19y14AaABAg.9G7cdL3H1fp9G7w7_S5xES,UCQHcGs-Dub4lqoMVppqrlvw,2020-11-16T19:11:31.922337+00:00,0,Ugxw5kjVJE1Ipit19y14AaABAg,,9EE79fqyHj4,"{""text"":""Journalism se jyada jaan pyari!!!""}",Ugxw5kjVJE1Ipit19y14AaABAg
UgyijHIf1mGvGbv0DVh4AaABAg.9FTx_KUy1NG9G5DyDxE8j_,UCQHcGs-Dub4lqoMVppqrlvw,2020-11-15T17:58:25.241382+00:00,0,UgyijHIf1mGvGbv0DVh4AaABAg,,EWpF0UqbDwg,"{""text"":""Another factor is education after independence...our schools didn't have the best facilities but had top-notch faculties whom would be respected throughout the village or town""}",UgyijHIf1mGvGbv0DVh4AaABAg
UgxLzgx2TGE3CoaMVk54AaABAg.9FTrlhFBji59G5BgHmUrzI,UCQHcGs-Dub4lqoMVppqrlvw,2020-11-15T17:38:29.663029+00:00,0,UgxLzgx2TGE3CoaMVk54AaABAg.9FTrlhFBji59G4v285MJeP,,EWpF0UqbDwg,"{""text"":""@Aryan"",""mention"":{""externalChannelId"":""UCPVtu5livrvnpr_Gce2pjuw""}},{""text"":"" kehna kya chahte ho? Please elaborate""}",UgxLzgx2TGE3CoaMVk54AaABAg
UgwVhFrF8z0aupDpSml4AaABAg,UCQHcGs-Dub4lqoMVppqrlvw,2020-11-12T22:39:30.971508+00:00,0,,,7M91tjOBuZs,"{""text"":""I bet there is a word in German to describe the pleasure EA developers get after seeing the number of rage quits and hypocrites they are making out of gamers....I guess 'schadenfreude' is close enough""}",
Ugy01vo7QG25wygwiM94AaABAg,UCQHcGs-Dub4lqoMVppqrlvw,2020-11-12T17:29:45.07636+00:00,0,,,pEslMIlbAi8,"{""text"":""Voter fraud or not, it is a complete shit-show for democracy""}",
